"Educational_course","year","Gaps_in_education","Gaps_in_experience","Percentage_of_marks","Experience","Age","Marital_status","Age_of_kids","Salary","Salary_as_compared_to_experience","Salary_as_compared_with_the_industry_standards","Classification_of_companies","Type_of_experience","Resume_organization","Since_howlong_is_he.inthe_current_company","Since_howlong_is_he.inthe_current_location","is_home_town_as_work_location","Canditate_is_finikey_about_contract_job","Would_join_as_a_contractor_or_not.Target."
"B.Com","na","yes","no","na",6,"33","M","4",13.5,"yes","yes",1,"Service based","good","3","6","yes","yes","yes"
"B.Com","2004","no","yes","na",14,"38","M","7",30,"yes","yes",1,"Service based","good","3.6","3.6","yes","yes","yes"
"Bsc","2010","na","no","na",8.6,"29","S","na",22,"no","no",2,"Service based","good","1.1","1.1","no","yes","yes"
"BE","2014","no","no","62",4.6,"26","S","na",10,"no","yes",2,"Service based","good","0.8","4.6","yes","yes","yes"
"Bsc","2009","no","no","na",10.8,"30","M","2",22,"yes","yes",1,"Service based","good","4","4","yes","yes","yes"
"M.Tech","2013","yes","no","na",3.1,"29","S","na",7,"yes","yes",2,"Service based","good","2.11","2.11","yes","no","no"
"MCA","2014","no","yes","na",4.8,"28","S","na",8.5,"yes","yes",2,"Service based","good","1.2","1.2","no","no","no"
"M.Tech","2014","no","na","89",3.1,"29","S","na",6.75,"yes","yes",1,"Service based","good","3.1","3.1","no","no","no"
"Bsc","2015","no","na","na",3.9,"25","S","na",7,"yes","yes",1,"Service based","good","1.2","1.2","no","no","no"
"B.Tech","2013","no","na","na",3,"28","S","na",6.75,"yes","no",1,"Service based","good","3","3","no","no","no"
"M.Tech","2007","yes","yes","na",10,"34","M","5",25,"no","no",2,"Service based","good","2","2","yes","yes","yes"
"MCA","2005","yes","yes","na",13,"42","M","12",21,"no","no",2,"Service based","okay","2.1","13","yes","yes","yes"
"BE","2001","no","no","61",12,"40","M","9",30,"yes","yes",1,"Service based","good","10","10","no","yes","yes"
"MCA","2012","yes","no","na",4.1,"34","M","3",9.5,"yes","no",2,"Service based","okay","2","4","no","yes","yes"
"MCA","2013","no","na","67.42",5.6,"29","M","na",10,"yes","no",2,"Service based","good","3.9","3.9","yes","no","no"
"B.Tech","2015","no","no","na",3.9,"26","S","na",7.5,"yes","yes",1,"Service based","good","3.9","3.9","no","no","no"
"B.Tech","2015","no","no","na",2,"25","S","na",4,"yes","yes",3,"Service based","good","2","2","yes","no","no"
"BE","2012","no","no","na",6.6,"29","S","na",10,"yes","no",1,"Service based","good","2.5","2.5","yes","no","no"
"BE","2016","no","no","67",2.9,"25","S","na",6,"yes","yes",1,"Service based","good","2.9","2.9","yes","no","no"
"Bsc","na","yes","no","na",7,"32","M","2",15.5,"no","no",2,"Service based","okay","4.3","4.3","no","yes","yes"
"MBA","2017","yes","no","70",4,"28","S","na",7.2,"no","no",2,"Service based","average","1","4","yes","yes","yes"
"BE","2014`","no","yes","64",4.3,"28","S","na",9.5,"yes","yes",2,"Service based","okay","4.3","4.3","yes","yes","yes"
"Msc","na","na","no","na",5,"28","S","na",8,"no","no",2,"Service based","good","5","5","yes","yes","yes"
"B.Tech","2012","na","no","na",4,"29","S","na",9.5,"yes","yes",2,"Service based","good","2.4","4","no","yes","yes"
"B.Tech","2015","no","no","83",3.2,"27","S","na",7,"yes","yes",1,"Service based","good","0.3","0.3","no","no","no"
"B.Tech","2014","no","no","64.58",3.4,"27","S","na",7,"yes","yes",2,"Service based","good","4","4","yes","no","no"
"M.Tech","2015","no","no","70",3.2,"30","S","na",6,"no","yes",3,"Service based","good","2","2","no","no","no"
"B.Tech","2016","no","no","na",3,"25","S","na",6,"yes","yes",1,"Service based","average","3","3","no","no","no"
"Msc","2011","yes","no","68",9,"33","M","na",18,"yes","yes",2,"Service based","good","9","9","yes","no","no"
"BE","na","na","yes","na",10,"35","M","4",17,"no","yes",2,"Product based","good","2","2","no","yes","yes"
"M.Tech","2015","yes","no","na",3.3,"27","S","na",7.2,"yes","no",1,"Service based","good","1.2","1.2","yes","yes","yes"
"MCA","na","no","no","na",6,"28","S","na",13.5,"yes","yes",1,"Service based","good","1","1","yes","yes","yes"
"BE","2011","na","yes","64",4.6,"29","S","na",10,"no","yes",2,"Service based","bad","1","1","yes","yes","yes"
"BE","na","yes","no","na",5.2,"29","M","1",12,"yes","no",1,"Product based","okay","2.4","5.2","yes","yes","yes"
"BE","2015","yes","no","68",3,"32","M","2",6,"yes","yes",2,"Service based","good","2","2","no","no","no"
"B.Tech","2014","no","no","74",3.11,"27","S","na",7,"yes","yes",1,"Service based","good","3.2","3.2","yes","no","no"
"B.Tech","na","no","no","na",5,"29","S","na",10.5,"yes","no",2,"Service based","good","0.9","0.9","no","no","no"
"B.Tech","na","na","no","na",3.7,"28","S","na",9,"yes","yes",2,"Service based","good","1.2","0","no","no","no"
"B.Tech","na","na","no","na",6.8,"28","S","na",10,"no","no",1,"Service based","okay","0.7","0.7","yes","yes","yes"
"B.Tech","2014`","na","no","na",4.2,"27","S","na",7.2,"no","no",1,"Service based","okay","3.7","4.2","yes","yes","yes"
"BE","na","na","no","na",8.2,"32","M","2",15.5,"yes","no",2,"Service based","average","2.9","2.9","no","yes","yes"
"B.Tech","na","na","na","na",3.1,"26","S","na",6,"yes","no",2,"Service based","average","na","na","no","yes","yes"
"M.Tech","2016","no","no","87",1.8,"26","S","na",5,"yes","no",2,"Product based","good","1","1","no","yes","yes"
"BE","2015","no","no","na",3.6,"25","S","na",7,"yes","yes",1,"Service based","bad","3.6","3.6","yes","no","no"
"B.Tech","Na","na","no","na",3.6,"28","S","na",7.5,"yes","no",3,"Service based","okay","1.7","1.7","no","no","no"
"BE","Na","no","no","76",4.9,"28","S","na",9,"yes","no",1,"Service based","good","0.11","0.11","yes","no","no"
"BCA","2011","no","na","na",5.7,"32","M","na",11,"yes","no",1,"Service based","good","4.5","4.5","no","no","no"
"MBA","2012","yes","yes","na",8,"40","M","9",20,"yes","yes",2,"Service based","good","4.2","4.2","no","yes","yes"
"BE","2005","na","no","na",11,"35","M","4",26,"yes","yes",2,"Service based","good","4.8","4.8","no","yes","yes"
"MCA","na","no","no","na",12,"41","S","na",25,"yes","yes",2,"Service based","good","2.6","2.6","no","yes","yes"
"BE","2006","na","yes","71",3,"39","M","12",9.5,"yes","yes",2,"Service based","good","3.6","13","yes","yes","yes"
"MA","na","na","no","na",18,"43","M","15",40,"yes","yes",2,"Service based","good","0.3","0.3","no","yes","yes"
"MCA","2012","no","yes","62",7,"30","na","na",15,"yes","yes",1,"Service based","good","3","3","no","no","no"
"B.Tech","2015","no","no","57",2.3,"26","S","na",5,"yes","yes",2,"Service based","average","2.3","2.3","no","no","no"
"B.Tech","2016","no","no","63.2",2.6,"25","S","na",5,"yes","yes",3,"Service based","good","1.8","1.8","no","no","no"
"MCA","2016","yes","no","79.4",2.3,"27","S","na",6,"yes","yes",1,"Product based","good","1","1","yes","no","no"
"B.Tech","na","na","no","na",3,"26","S","na",7.3,"no","no",1,"Service based","good","1.6","3","no","yes","yes"
"B.Tech","na","na","yes","na",3.8,"27","S","na",6,"no","no",2,"Service based","good","0.5","0.5","no","yes","yes"
"Msc","2006","no","no","77",6,"35","M","5",14,"yes","yes",1,"Service based","good","2.2","2.2","no","yes","yes"
"MCA","na","na","no","na",10,"39","M","8",20,"yes","yes",2,"Service based","good","3","10","no","yes","yes"
"na","na","na","no","na",5,"28","S","na",15.7,"yes","yes",2,"Service based","good","2.3","2.3","no","yes","yes"
"BE","2014","no","no","64",4.8,"27","S","na",9,"yes","yes",3,"Service based","good","0.8","0.8","no","no","no"
"B.Tech","na","no","no","na",3.8,"26","S","na",8.5,"yes","yes",3,"Service based","good","1.1","1.1","yes","no","no"
"B.Tech","2012","no","no","78",6.9,"28","S","na",10,"yes","no",1,"Service based","good","2.5","2.5","yes","no","no"
"B.Tech","2011","no","no","na",7.2,"30","M","2",14,"yes","no",3,"Service based","good","1.5","1.5","no","no","no"
"BCA","2011","no","no","na",6.9,"40","M","2",13,"yes","no",1,"Service based","good","3.9","3.9","yes","no","no"
"MBA","2014`","yes","no","na",9,"32","M","na",23,"yes","no",2,"Product based","good","3.1","3.1","no","yes","yes"
"Msc","na","na","no","na",11.5,"39","M","na",21,"no","no",2,"Product based","good","1.1","1.1","no","yes","yes"
"BE","2014`","no","no","60",3,"28","S","na",7,"no","no",2,"Service based","good","3.3","3.3","no","yes","yes"
"BE","2013","no","no","74",5.9,"27","S","na",12,"yes","yes",2,"Service based","good","1.3","3","yes","yes","yes"
"BE","na","na","no","na",1.8,"24","S","na",30,"yes","no",2,"Service based","good","1.8","1.8","yes","yes","yes"
"M.Tech","2014","yes","no","85",4.9,"30","M","na",10,"yes","yes",1,"Service based","good","1","1","yes","no","no"
"Msc","2015","no","no","60",4.3,"27","S","na",9.5,"yes","no",3,"Product based","good","0.5","0.5","no","no","no"
"B.Tech","2015","no","no","78",3.1,"25","S","na",6,"yes","no",2,"Service based","good","0.9","0.9","yes","no","no"
"BA","2014","yes","no","na",19.9,"49","M","na",40,"yes","no",1,"Service based","good","15","15","yes","no","no"
"B.Tech","2015","na","na","76",3.2,"25","S","na",7,"yes","yes",1,"Service based","good","3.2","3.2","no","no","no"
"B.Tech","na","na","no","na",5,"29","S","na",11,"yes","no",1,"Service based","good","0.6","0.6","no","yes","yes"
"B.Tech","na","na","no","na",11,"34","M","na",21,"yes","yes",2,"Service based","good","7.5","7.5","no","yes","yes"
"MCA","2013","no","no","78",5.6,"33","M","na",13.5,"yes","yes",2,"Service based","good","1.8","3.8","no","yes","yes"
"MBA","2016","yes","no","66",8.1,"32","M","na",19,"yes","yes",2,"Service based","good","1.1","1.1","no","yes","yes"
"B.Tech","2015","no","no","82",4,"25","S","na",8,"yes","no",2,"Service based","good","1.3","1.3","no","yes","yes"
"B.Tech","2016","yes","no","65.24",2,"25","S","na",5,"yes","yes",2,"Service based","average","2","2","yes","no","no"
"B.Tech","2015","yes","no","na",2.9,"26","S","na",6,"yes","yes",2,"Service based","average","1.6","1.6","yes","no","no"
"B.Tech","2017","yes","no","72",2,"24","S","na",5,"yes","yes",2,"Service based","average","2","2","no","no","no"
"B.Tech","2014","no","no","64.94",2,"25","S","na",4,"yes","yes",3,"Service based","average","2","2","no","no","no"
"MCA","2010","yes","na","na",3.8,"33","M","na",8,"no","no",1,"Service based","average","0.8","0.8","no","no","no"
"BE","na","na","no","na",12,"35","M","na",26,"yes","yes",2,"Service based","good","5","5","no","yes","yes"
"Bsc","2006","na","no","na",11,"33","M","na",23,"yes","yes",1,"Service based","good","4.6","11","yes","yes","yes"
"MBA","2011","yes","yes","na",14,"35","M","na",34,"yes","yes",2,"Service based","good","1.1","8","no","yes","yes"
"MCA","2010","yes","yes","73",8.6,"39","M","7",18,"yes","yes",2,"Service based","good","0.8","0.8","no","yes","yes"
"M.Tech","2013","no","no","na",4,"29","S","na",10,"yes","no",3,"Service based","good","1.6","1.6","no","yes","yes"
"Msc","2012","no","yes","na",6.2,"29","S","na",12.75,"yes","yes",3,"Service based","good","2.4","2.4","no","no","no"
"MCA","2016","no","no","na",3,"25","S","na",6.75,"yes","yes",3,"Service based","good","3","3","no","no","no"
"B.Tech","2016","no","no","na",2.1,"26","S","na",5,"yes","yes",2,"Service based","average","2.1","2.1","no","no","no"
"BE","2015","no","no","66",2.7,"26","S","na",4,"yes","yes",2,"Service based","good","2.4","2.4","no","no","no"
"na","2015","no","no","na",2.7,"26","S","na",4.25,"yes","yes",3,"Service based","good","1.9","1.9","no","no","no"
"B.Tech","na","na","no","na",10,"33","M","3",21,"yes","no",2,"Service based","okay","4.9","4.9","no","yes","yes"
"B.Tech","2006","na","no","na",10,"35","M","7",25,"yes","yes",1,"Service based","good","3.9","3.9","yes","yes","yes"
"BCA","2005","na","no","na",9,"34","M","6",17,"yes","no",2,"Service based","good","3.3","3.3","no","yes","yes"
"BE","1995","na","no","na",16,"45","M","17",45,"yes","yes",2,"Service based","good","9","9","yes","yes","yes"
"B.Tech","2014`","no","no","64",3.2,"26","S","na",5,"yes","no",1,"Service based","good","0.3","0.3","no","yes","yes"
"BE","Na","no","no","na",2.11,"","S","na",5,"yes","no",1,"Service based","okay","2.11","2.11","yes","no","no"
"BE","2014","no","yes","83.5",3.4,"27","M","na",7.5,"yes","no",1,"Service based","okay","na","na","yes","no","no"
"MCA","2017","no","no","na",2.4,"26","S","na",5,"yes","no",3,"Service based","good","1.1","1.1","no","no","no"
"MCA","2013","no","no","66",3.4,"29","S","na",7.5,"yes","yes",3,"Service based","good","1","1","yes","no","no"
"ME","2014","yes","yes","76.86",6,"32","M","na",8,"yes","yes",3,"Service based","good","0.7","0.7","yes","no","no"
"BE","na","na","no","na",12,"34","M","na",24,"yes","yes",1,"Service based","good","1.3","1.3","no","yes","yes"
"B.Tech","2009","no","no","60",5.9,"31","S","na",10,"no","no",2,"Service based","good","1.4","1.4","no","yes","yes"
"B.Tech","na","no","no","61",8,"32","M","na",17,"yes","yes",1,"Service based","good","3","3","no","yes","yes"
"B.Tech","1996","na","no","na",20,"43","M","na",45,"yes","yes",2,"Service based","good","2.11","2.11","no","yes","yes"
"BE","na","na","no","na",1.8,"25","S","na",3,"yes","yes",2,"Service based","good","1.8","1.8","yes","yes","yes"
"MCA","2015","no","no","na",2.7,"28","S","na",5,"no","no",1,"Service based","good","2.7","2.7","no","no","no"
"B.Tech","2011","no","no","na",6,"30","S","na",12,"yes","yes",2,"Service based","good","3.6","3.6","no","no","no"
"Msc","2013","no","no","na",3.2,"29","S","na",7,"yes","yes",3,"Service based","good","0.3","0.3","no","no","no"
"M.Tech","2012","no","yes","66.73",6,"31","M","na",12,"yes","yes",1,"Service based","good","1.2","1.2","no","no","no"
"B.Tech","2004","no","yes","67.6",10.5,"37","M","na",21,"yes","yes",1,"Service based","good","3.9","3.9","yes","no","no"
"MCA","na","na","no","na",5.6,"29","S","na",14,"yes","yes",3,"Service based","good","3","5.6","no","yes","yes"
"na","na","na","no","na",7,"31","M","na",12,"yes","no",4,"Service based","bad","0.1","0.1","no","yes","yes"
"M.Tech","2003","na","no","na",14,"40","M","na",40,"yes","yes",2,"Service based","good","12","12","yes","yes","yes"
"BE","2006","no","no","na",10,"34","M","na",25,"yes","yes",2,"Service based","good","5.3","10","yes","yes","yes"
"BE","2005","no","no","na",11.5,"37","M","9",23,"no","no",2,"Service based","good","1.6","1.6","yes","yes","yes"
"BE","2015","no","no","61",5,"32","M","2",10,"yes","no",3,"Service based","good","2.2","2.2","no","no","no"
"BE","2013","no","yes","56",5.3,"31","M","2",11,"yes","no",1,"Service based","good","2","2","yes","no","no"
"B.Tech","na","no","yes","na",4,"33","M","2",8.75,"yes","no",1,"Service based","good","1.1","1.1","yes","no","no"
"BE","2014","no","no","67",4.2,"27","S","na",9,"yes","yes",1,"Service based","good","4.5","4.5","yes","no","no"
"Msc","2013","no","no","na",5.6,"32","M","2",11,"yes","yes",2,"Product based","good","6","6","no","no","no"
"BE","na","na","no","na",7,"35","M","6",13.5,"yes","no",2,"Service based","good","3.1","7","yes","yes","yes"
"BE","na","na","no","73",4.5,"25","S","na",10,"yes","no",2,"Service based","good","1","1","no","yes","yes"
"Msc","2016","yes","no","74",3.9,"27","S","na",7.3,"no","no",1,"Service based","good","2","2","no","yes","yes"
"na","na","na","no","na",4.8,"28","S","na",11,"yes","no",2,"Service based","bad","4.8","4.8","yes","yes","yes"
"Msc","2003","no","no","74",13,"38","M","10",27,"yes","yes",2,"Service based","good","11","11","no","yes","yes"
"BE","2015","no","no","na",2.11,"25","S","na",4.5,"yes","yes",2,"Service based","average","2.11","2.11","yes","no","no"
"B.Tech","2015","no","no","71.2",3.5,"28","S","na",7,"yes","yes",1,"Service based","good","3.5","3.5","yes","no","no"
"MCA","2016","no","no","na",3,"25","S","na",6.5,"yes","yes",1,"Service based","good","2.9","2.9","yes","no","no"
"B.Tech","2014","no","no","na",4,"29","S","na",10,"yes","no",1,"Service based","good","2.1","2.1","no","no","no"
"MCA","2015","no","no","na",3,"30","M","na",6,"yes","yes",3,"Service based","good","1.5","1.5","no","no","no"
"B.Tech","na","na","yes","na",1.9,"28","S","na",6,"yes","yes",2,"Service based","good","1.8","1.8","yes","yes","yes"
"CA","2005","no","no","76",13,"35","M","9",30,"yes","yes",2,"Service based","good","12","12","yes","yes","yes"
"B.Tech","2014","na","no","na",3.7,"27","S","na",8,"yes","no",2,"Service based","good","3.7","3.7","yes","yes","yes"
"BE","2015","no","no","na",6,"25","S","na",6,"yes","no",2,"Service based","good","3","3","yes","yes","yes"
