Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.,ED_code,year_code,Mas_code,exp_code,org_code
1,0,62,6,33,4,13.5,1,1,1,3,6,1,1,1,0,8,0,1,2
0,1,62,14,38,7,30,1,1,1,3.6,3.6,1,1,1,0,8,0,1,2
0,0,62,8.6,29,7,22,0,0,2,1.1,1.1,0,1,1,5,14,1,1,2
0,0,62,4.6,26,7,10,0,1,2,0.8,4.6,1,1,1,4,18,1,1,2
0,0,89,10.8,30,2,22,1,1,1,4,4,1,1,1,5,13,0,1,2
1,0,89,3.1,29,2,7,1,1,2,2.11,2.11,1,0,0,7,17,1,1,2
0,1,89,4.8,28,2,8.5,1,1,2,1.2,1.2,0,0,0,10,18,1,1,2
0,1,89,3.1,29,2,6.75,1,1,1,3.1,3.1,0,0,0,7,18,1,1,2
0,1,61,3.9,25,2,7,1,1,1,1.2,1.2,0,0,0,5,20,1,1,2
0,1,61,3,28,2,6.75,1,0,1,3,3,0,0,0,1,17,1,1,2
1,1,61,10,34,5,25,0,0,2,2,2,1,1,1,7,11,0,1,2
1,1,61,13,42,12,21,0,0,2,2.1,13,1,1,1,10,9,0,1,3
0,0,61,12,40,9,30,1,1,1,10,10,0,1,1,4,6,0,1,2
1,0,67.42,4.1,34,3,9.5,1,0,2,2,4,0,1,1,10,16,0,1,3
0,0,67.42,5.6,29,3,10,1,0,2,3.9,3.9,1,0,0,10,17,0,1,2
0,0,67,3.9,26,3,7.5,1,1,1,3.9,3.9,0,0,0,1,20,1,1,2
0,0,67,2,25,3,4,1,1,3,2,2,1,0,0,1,20,1,1,2
0,0,67,6.6,29,3,10,1,0,1,2.5,2.5,1,0,0,4,16,1,1,2
0,0,67,2.9,25,3,6,1,1,1,2.9,2.9,1,0,0,4,21,1,1,2
1,0,70,7,32,2,15.5,0,0,2,4.3,4.3,0,1,1,5,22,0,1,3
1,0,70,4,28,2,7.2,0,0,2,1,4,1,1,1,9,22,1,1,0
0,1,64,4.3,28,2,9.5,1,1,2,4.3,4.3,1,1,1,4,19,1,1,3
0,0,83,5,28,2,8,0,0,2,5,5,1,1,1,12,16,1,1,2
0,0,83,4,29,2,9.5,1,1,2,2.4,4,0,1,1,1,16,1,1,2
0,0,83,3.2,27,2,7,1,1,1,0.3,0.3,0,0,0,1,20,1,1,2
0,0,64.58,3.4,27,2,7,1,1,2,4,4,1,0,0,1,18,1,1,2
0,0,70,3.2,30,2,6,0,1,3,2,2,0,0,0,7,20,1,1,2
0,0,68,3,25,2,6,1,1,1,3,3,0,0,0,1,21,1,1,0
1,0,68,9,33,2,18,1,1,2,9,9,1,0,0,12,15,0,1,2
1,1,64,10,35,4,17,0,1,2,2,2,0,1,1,4,20,0,0,2
1,0,64,3.3,27,4,7.2,1,0,1,1.2,1.2,1,1,1,7,20,1,1,2
0,0,64,6,28,4,13.5,1,1,1,1,1,1,1,1,10,15,1,1,2
0,1,64,4.6,29,4,10,0,1,2,1,1,1,1,1,4,15,1,1,1
1,0,68,5.2,29,1,12,1,0,1,2.4,5.2,1,1,1,4,20,0,0,3
1,0,68,3,32,2,6,1,1,2,2,2,0,0,0,4,20,0,1,2
0,0,74,3.11,27,2,7,1,1,1,3.2,3.2,1,0,0,1,18,1,1,2
0,0,87,5,29,2,10.5,1,0,2,0.9,0.9,0,0,0,1,19,1,1,2
0,0,87,3.7,28,2,9,1,1,2,1.2,0,0,0,0,1,19,1,1,2
0,0,87,6.8,28,2,10,0,0,1,0.7,0.7,1,1,1,1,19,1,1,3
0,0,87,4.2,27,2,7.2,0,0,1,3.7,4.2,1,1,1,1,19,1,1,3
0,0,87,8.2,32,2,15.5,1,0,2,2.9,2.9,0,1,1,4,21,0,1,0
0,0,87,3.1,26,2,6,1,0,2,2.9,3,0,1,1,1,21,1,1,0
0,0,87,1.8,26,2,5,1,0,2,1,1,0,1,1,7,21,1,0,2
0,0,76,3.6,25,2,7,1,1,1,3.6,3.6,1,0,0,4,20,1,1,1
0,0,76,3.6,28,2,7.5,1,0,3,1.7,1.7,0,0,0,1,15,1,1,3
0,0,76,4.9,28,2,9,1,0,1,0.11,0.11,1,0,0,4,15,1,1,2
0,0,71,5.7,32,2,11,1,0,1,4.5,4.5,0,0,0,3,15,0,1,2
1,1,71,8,40,9,20,1,1,2,4.2,4.2,0,1,1,9,16,0,1,2
1,0,71,11,35,4,26,1,1,2,4.8,4.8,0,1,1,4,9,0,1,2
0,0,71,12,41,4,25,1,1,2,2.6,2.6,0,1,1,10,10,1,1,2
0,1,71,3,39,12,9.5,1,1,2,3.6,13,1,1,1,4,10,0,1,2
0,0,62,18,43,15,40,1,1,2,0.3,0.3,0,1,1,8,16,0,1,2
0,1,62,7,30,15,15,1,1,1,3,3,0,0,0,10,16,0,1,2
0,0,57,2.3,26,15,5,1,1,2,2.3,2.3,0,0,0,1,20,1,1,0
0,0,63.2,2.6,25,15,5,1,1,3,1.8,1.8,0,0,0,1,21,1,1,2
1,0,79.4,2.3,27,15,6,1,1,1,1,1,1,0,0,10,21,1,0,2
1,0,77,3,26,15,7.3,0,0,1,1.6,3,0,1,1,1,10,1,1,2
1,1,77,3.8,27,15,6,0,0,2,0.5,0.5,0,1,1,1,10,1,1,2
0,0,77,6,35,5,14,1,1,1,2.2,2.2,0,1,1,12,10,0,1,2
0,0,64,10,39,8,20,1,1,2,3,10,0,1,1,10,18,0,1,2
0,0,64,5,28,8,15.7,1,1,2,2.3,2.3,0,1,1,10,18,1,1,2
0,0,64,4.8,27,8,9,1,1,3,0.8,0.8,0,0,0,4,18,1,1,2
0,0,78,3.8,26,8,8.5,1,1,3,1.1,1.1,1,0,0,1,16,1,1,2
0,0,78,6.9,28,8,10,1,0,1,2.5,2.5,1,0,0,1,16,1,1,2
0,0,60,7.2,30,2,14,1,0,3,1.5,1.5,0,0,0,1,15,0,1,2
0,0,60,6.9,40,2,13,1,0,1,3.9,3.9,1,0,0,3,15,0,1,2
1,0,60,9,32,2,23,1,0,2,3.1,3.1,0,1,1,9,19,0,0,2
1,0,60,11.5,39,2,21,0,0,2,1.1,1.1,0,1,1,12,19,0,0,2
0,0,60,3,28,2,7,0,0,2,3.3,3.3,0,1,1,4,19,1,1,2
0,0,74,5.9,27,2,12,1,1,2,1.3,3,1,1,1,4,17,1,1,2
0,0,85,1.8,24,2,30,1,0,2,1.8,1.8,1,1,1,4,18,1,1,2
1,0,85,4.9,30,2,10,1,1,1,1,1,1,0,0,7,18,0,1,2
0,0,60,4.3,27,2,9.5,1,0,3,0.5,0.5,0,0,0,12,20,1,0,2
0,0,78,3.1,25,2,6,1,0,2,0.9,0.9,1,0,0,1,20,1,1,2
1,0,76,19.9,49,2,40,1,0,1,15,15,1,0,0,2,18,0,1,2
1,0,76,3.2,25,2,7,1,1,1,3.2,3.2,0,0,0,1,20,1,1,2
1,0,78,5,29,2,11,1,0,1,0.6,0.6,0,1,1,1,17,1,1,2
1,0,78,11,34,2,21,1,1,2,7.5,7.5,0,1,1,1,17,0,1,2
0,0,78,5.6,33,2,13.5,1,1,2,1.8,3.8,0,1,1,10,17,0,1,2
1,0,66,8.1,32,2,19,1,1,2,1.1,1.1,0,1,1,9,21,0,1,2
0,0,82,4,25,2,8,1,0,2,1.3,1.3,0,1,1,1,20,1,1,2
1,0,65.24,2,25,2,5,1,1,2,2,2,1,0,0,1,21,1,1,0
1,0,72,2.9,26,2,6,1,1,2,1.6,1.6,1,0,0,1,20,1,1,0
1,0,72,2,24,2,5,1,1,2,2,2,0,0,0,1,22,1,1,0
0,0,64.94,2,25,2,4,1,1,3,2,2,0,0,0,1,18,1,1,0
1,0,73,3.8,33,2,8,0,0,1,0.8,0.8,0,0,0,10,14,0,1,0
1,0,73,12,35,2,26,1,1,2,5,5,0,1,1,4,10,0,1,2
1,0,73,11,33,2,23,1,1,1,4.6,11,1,1,1,5,10,0,1,2
1,1,73,14,35,2,34,1,1,2,1.1,8,0,1,1,9,15,0,1,2
1,1,73,8.6,39,7,18,1,1,2,0.8,0.8,0,1,1,10,14,0,1,2
0,0,66,4,29,7,10,1,0,3,1.6,1.6,0,1,1,7,17,1,1,2
0,1,66,6.2,29,7,12.75,1,1,3,2.4,2.4,0,0,0,12,16,1,1,2
0,0,66,3,25,7,6.75,1,1,3,3,3,0,0,0,10,21,1,1,2
0,0,66,2.1,26,7,5,1,1,2,2.1,2.1,0,0,0,1,21,1,1,0
0,0,66,2.7,26,7,4,1,1,2,2.4,2.4,0,0,0,4,20,1,1,2
0,0,64,2.7,26,7,4.25,1,1,3,1.9,1.9,0,0,0,4,20,1,1,2
0,0,64,10,33,3,21,1,0,2,4.9,4.9,0,1,1,1,10,0,1,3
0,0,64,10,35,7,25,1,1,1,3.9,3.9,1,1,1,1,10,0,1,2
0,0,64,9,34,6,17,1,0,2,3.3,3.3,0,1,1,3,9,0,1,2
0,0,64,16,45,17,45,1,1,2,9,9,1,1,1,4,2,0,1,2
0,0,64,3.2,26,17,5,1,0,1,0.3,0.3,0,1,1,1,19,1,1,2
0,0,83.5,2.11,26,17,5,1,0,1,2.11,2.11,1,0,0,4,18,1,1,3
0,1,83.5,3.4,27,17,7.5,1,0,1,2.9,3,1,0,0,4,18,0,1,3
0,0,66,2.4,26,17,5,1,0,3,1.1,1.1,0,0,0,10,22,1,1,2
0,0,66,3.4,29,17,7.5,1,1,3,1,1,1,0,0,10,17,1,1,2
1,1,76.86,6,32,17,8,1,1,3,0.7,0.7,1,0,0,11,18,0,1,2
1,0,60,12,34,17,24,1,1,1,1.3,1.3,0,1,1,4,13,0,1,2
0,0,60,5.9,31,17,10,0,0,2,1.4,1.4,0,1,1,1,13,1,1,2
0,0,61,8,32,17,17,1,1,1,3,3,0,1,1,1,3,0,1,2
0,0,66.73,20,43,17,45,1,1,2,2.11,2.11,0,1,1,1,3,0,1,2
0,0,66.73,1.8,25,17,3,1,1,2,1.8,1.8,1,1,1,4,20,1,1,2
0,0,66.73,2.7,28,17,5,0,0,1,2.7,2.7,0,0,0,10,20,1,1,2
0,0,66.73,6,30,17,12,1,1,2,3.6,3.6,0,0,0,1,15,1,1,2
0,0,66.73,3.2,29,17,7,1,1,3,0.3,0.3,0,0,0,12,17,1,1,2
0,1,66.73,6,31,17,12,1,1,1,1.2,1.2,0,0,0,7,16,0,1,2
0,1,67.6,10.5,37,17,21,1,1,1,3.9,3.9,1,0,0,1,8,0,1,2
0,0,61,5.6,29,17,14,1,1,3,3,5.6,0,1,1,10,7,1,1,2
0,0,61,7,31,17,12,1,0,4,0.1,0.1,0,1,1,10,7,0,1,1
0,0,61,14,40,17,40,1,1,2,12,12,1,1,1,7,7,0,1,2
0,0,61,10,34,17,25,1,1,2,5.3,10,1,1,1,4,10,0,1,2
0,0,61,11.5,37,9,23,0,0,2,1.6,1.6,1,1,1,4,9,0,1,2
0,0,61,5,32,2,10,1,0,3,2.2,2.2,0,0,0,4,20,0,1,2
0,1,56,5.3,31,2,11,1,0,1,2,2,1,0,0,4,17,0,1,2
0,1,67,4,33,2,8.75,1,0,1,1.1,1.1,1,0,0,1,18,0,1,2
0,0,67,4.2,27,2,9,1,1,1,4.5,4.5,1,0,0,4,18,1,1,2
0,0,73,5.6,32,2,11,1,1,2,6,6,0,0,0,12,17,0,0,2
0,0,73,7,35,6,13.5,1,0,2,3.1,7,1,1,1,4,21,0,1,2
0,0,73,4.5,25,6,10,1,0,2,1,1,0,1,1,4,21,1,1,2
1,0,74,3.9,27,6,7.3,0,0,1,2,2,0,1,1,12,21,1,1,2
1,0,74,4.8,28,6,11,1,0,2,4.8,4.8,1,1,1,12,7,1,1,1
0,0,74,13,38,10,27,1,1,2,11,11,0,1,1,12,7,0,1,2
0,0,71.2,2.11,25,10,4.5,1,1,2,2.11,2.11,1,0,0,4,20,1,1,0
0,0,71.2,3.5,28,10,7,1,1,1,3.5,3.5,1,0,0,1,20,1,1,2
0,0,76,3,25,10,6.5,1,1,1,2.9,2.9,1,0,0,10,21,1,1,2
0,0,76,4,29,10,10,1,0,1,2.1,2.1,0,0,0,1,18,1,1,2
0,0,76,3,30,10,6,1,1,3,1.5,1.5,0,0,0,10,20,0,1,2
0,1,76,1.9,28,10,6,1,1,2,1.8,1.8,1,1,1,1,9,1,1,2
0,0,76,13,35,9,30,1,1,2,12,12,1,1,1,6,9,0,1,2
0,0,78,3.7,27,9,8,1,0,2,3.7,3.7,1,1,1,1,18,1,1,2
0,0,78,6,25,9,6,1,0,2,3,3,1,1,1,4,20,1,1,2
0,0,78,3,24,9,7,1,0,2,3,3,0,1,1,1,21,1,1,2
0,1,78,3.6,29,9,7,1,0,1,0.7,0.7,0,0,0,7,20,1,1,0
0,0,78,11,36,9,22,1,1,1,1.7,1.7,0,0,0,1,9,0,1,2
0,0,78,3.2,26,9,7,1,1,1,3.2,3.2,1,0,0,5,20,1,1,0
1,1,78,11,30,9,25,1,1,1,0.11,0.11,0,0,0,9,23,0,1,2
0,0,78,3,27,9,7,1,1,2,1.2,1.2,0,0,0,10,21,0,1,2
0,0,64,2,29,9,3,0,0,2,2,2,0,1,1,1,17,1,1,2
0,0,64,5,27,9,13,1,1,2,1.2,1.2,0,1,1,1,17,1,1,2
0,0,70,3.8,26,9,7,1,1,2,1,3.8,0,1,1,4,18,1,1,2
0,0,63,2.9,24,9,8,1,1,1,2.9,2.9,0,1,1,1,21,1,1,2
0,0,63,4.5,27,9,9,1,0,2,2.2,2.2,0,1,1,1,21,1,1,2
0,1,63,2.1,26,9,4,1,1,2,0.8,0.8,0,0,0,1,21,1,1,2
0,1,63,2,26,9,4,1,1,3,2,2,0,0,0,10,21,1,1,2
0,0,63,2.3,25,9,4.75,1,1,2,2.3,2.3,1,0,0,1,21,1,0,2
0,1,76,11,35,2,18,1,0,1,3.3,3.3,1,0,0,1,11,0,1,2
0,0,73,11,35,2,19.5,1,0,1,4.6,4.6,1,0,0,5,18,0,1,2
0,0,73,3,27,2,5,0,0,2,3,3,0,1,1,1,18,1,1,2
1,0,52,4.1,29,2,3,1,0,2,2.4,2.4,0,1,1,0,18,0,1,2
0,0,75,7,30,2,17,1,1,2,2,2,0,1,1,4,16,0,1,2
0,0,75,4.3,29,4,9,1,0,2,1,1,1,1,1,1,22,0,1,2
0,0,75,3,29,5,7,1,0,2,0.1,0.1,0,1,1,1,17,0,1,2
1,0,68.2,6.8,32,5,13.5,1,0,1,4,4,1,0,0,7,15,0,1,2
0,0,85.5,3.9,26,5,9,1,0,1,1.6,1.6,0,0,0,1,20,1,1,2
0,1,64.9,4,29,5,8,1,1,3,1.3,1.3,1,0,0,4,18,1,1,0
1,1,78,2.11,26,5,5,1,1,2,0.1,0.1,1,0,0,4,18,1,1,2
0,0,78,2.9,25,5,5.5,1,1,3,1.7,1.7,1,0,0,10,20,1,1,2
0,0,78,2,25,5,4,1,1,2,2,2,1,1,1,4,20,1,1,2
0,0,80.16,6,29,1,11,1,0,2,2.1,2.1,0,1,1,1,16,0,0,2
0,0,80.16,4.5,30,1,9.7,1,0,2,4.5,4.5,1,1,1,1,16,1,1,2
0,0,80.16,3,29,1,8,1,1,2,2,2,0,1,1,10,18,1,1,2
0,1,80.16,10,43,18,20,1,0,2,1.4,1.4,0,1,1,0,4,0,1,2
0,0,80.16,4.8,27,18,9,1,1,1,2.1,2.1,1,0,0,1,18,1,1,2
0,0,80.16,3.9,26,18,7,1,1,2,1,1,1,0,0,1,20,1,1,0
0,0,80.16,3.5,25,18,7,1,1,1,3.5,3.5,1,0,0,1,20,1,1,2
0,0,66.3,3.11,26,18,7,1,1,3,0.11,0.11,0,0,0,1,20,1,1,2
0,0,64,5.3,31,18,10,1,1,1,2,2,0,0,0,1,14,0,1,3
0,0,64,7,29,4,16,1,1,2,2,2,0,1,1,0,16,0,1,2
0,0,60,2,30,2,5,1,0,1,2,2,0,1,1,1,18,0,1,2
0,0,50,11,33,7,21,1,0,2,6,11,1,1,1,0,12,0,1,2
0,0,78,20,59,25,60,1,1,1,16,16,1,1,1,6,0,0,1,2
0,0,78,7,35,7,13,1,0,2,3,5,0,1,1,6,17,0,1,2
0,0,78,2.7,27,7,4.25,1,1,2,2.7,2.7,0,0,0,1,17,1,0,2
0,0,78,2.1,26,7,3.25,1,1,3,1.11,1.11,0,0,0,4,20,1,1,2
0,0,78,4,29,7,8.5,1,1,1,1.2,1.2,1,0,0,7,20,1,1,2
0,0,65,2.9,33,2,6.75,1,1,2,2.11,2.11,0,0,0,10,20,0,1,2
0,0,80,2,26,2,4.25,1,0,1,2,2,0,0,0,1,21,1,1,2
0,0,65,2,26,2,4,1,1,2,2,3,1,1,1,10,18,1,1,2
0,0,65,4.3,30,2,8,1,0,2,1.1,1.1,0,1,1,4,18,0,1,2
0,0,65,4.4,28,4,9.7,1,1,2,2.6,2.6,1,1,1,1,18,0,1,2
0,1,65,2,26,4,3,1,0,2,2,2,1,1,1,1,17,1,1,2
0,0,65,3.5,28,4,7,1,1,2,0.1,0.1,1,1,1,1,17,1,1,2
0,1,78,4.6,32,4,9.5,1,1,3,3.1,3.1,1,0,0,10,13,0,1,0
0,1,78,4,33,4,8,1,1,4,0.11,0.11,1,0,0,4,12,0,1,1
0,1,78,12,39,4,10,1,1,2,0.4,0.4,1,0,0,10,8,0,1,2
0,0,78,3.3,26,4,7,1,0,1,3.3,3.3,1,0,0,1,20,1,1,2
0,0,78,3.5,30,4,8,1,1,2,3.5,3.5,1,0,0,4,18,0,1,2
1,0,78,18,42,9,39,1,1,2,0.8,14,0,1,1,12,5,0,1,2
0,0,78,24,54,26,55,1,1,2,8,8,0,1,1,6,1,0,1,2
0,0,78,10,34,4,23,1,1,2,2.6,2.6,0,1,1,1,11,0,1,2
0,0,78,15,41,16,30,1,1,2,2,2,0,1,1,12,5,0,1,2
0,0,78,10,34,6,21,1,1,2,2,2,0,1,1,9,11,0,1,2
0,0,78,3.11,26,6,8,1,1,1,3.11,3.11,0,0,0,1,18,1,1,2
0,0,78,4.11,27,6,8,0,0,1,0.8,0.8,0,0,0,1,17,1,1,2
0,1,74,4.3,28,6,8,1,1,2,1.6,1.6,0,0,0,1,18,1,1,0
0,0,60,4,26,6,8,1,1,3,2.2,2.2,0,0,0,1,20,1,1,2
0,0,60,4.8,27,6,9,1,1,1,4.2,4.2,0,0,0,1,18,1,1,2
0,0,60,6.5,33,3,14,1,1,2,8,8,1,1,1,0,11,0,1,2
0,1,60,10,34,5,22,1,1,2,2.6,2.6,0,1,1,7,21,0,1,2
0,0,60,3,26,5,7,1,0,2,3.2,3.2,0,1,1,1,18,1,1,2
0,0,76,4,29,5,10,1,1,2,1,1,1,1,1,4,16,1,1,2
1,0,76,7,34,6,20,1,1,2,2.1,2.1,0,1,1,1,20,0,1,2
0,0,76,3.2,26,6,6.5,1,1,3,1.2,1.2,1,0,0,1,20,1,1,0
0,1,76,2.1,26,6,5,1,1,1,2.5,2.5,0,0,0,1,21,1,1,2
0,0,76,3.4,27,6,6.75,1,1,3,3.4,3.4,0,0,0,7,21,1,1,2
0,0,76,3.6,26,6,7,1,1,2,0.6,0.6,0,0,0,1,20,1,1,2
0,0,78,2.7,24,6,5,1,1,2,2.7,2.7,0,0,0,1,21,1,1,2
0,0,78,2,24,6,4,1,1,2,0.5,0.5,0,1,1,4,20,1,1,2
1,0,78,10,36,8,24,1,1,2,2,10.8,1,1,1,1,10,0,1,2
0,0,78,6.7,32,3,14,1,0,3,2.6,2.6,1,1,1,12,14,0,1,2
0,0,78,13,39,11,27,1,1,2,1.4,1.4,0,1,1,10,8,0,1,2
0,0,76,7,33,5,17,1,1,2,0.8,0.8,0,1,1,1,15,0,1,2
0,0,70.08,3.4,26,5,7.5,1,1,3,1.5,1.5,1,0,0,4,20,0,1,0
0,0,70,3.6,26,5,7,1,1,3,3.6,3.6,1,0,0,3,20,0,1,2
0,0,75,4.6,26,5,9,1,1,3,2.2,2.2,1,0,0,3,20,0,1,0
0,0,75,2.11,26,5,4.5,1,1,3,2.11,2.11,1,0,0,4,20,1,1,2
0,0,75,3.3,29,5,7,1,0,1,2.1,2.1,1,0,0,12,20,1,1,2
0,0,75,8,31,2,17,1,1,2,4,4,1,1,1,12,17,0,1,2
0,0,75,5.7,29,2,15.5,0,0,2,5.2,5.2,1,1,1,1,17,1,1,2
0,0,75,6,30,2,13.5,1,1,3,1.3,1.3,1,1,1,10,16,0,1,2
0,0,81,4,29,2,7.4,0,0,2,2.9,2.9,0,1,1,1,17,1,1,2
0,0,81,3,33,3,7.35,1,0,2,3.4,3.4,0,1,1,10,17,0,1,2
0,0,75,5.8,27,3,10,1,1,1,1.6,1.6,0,0,0,10,20,1,1,2
0,0,72,4.3,26,3,8,1,1,1,0.1,0.1,0,0,0,1,17,1,1,2
0,0,68,2.6,25,3,5,1,1,1,1.8,1.8,0,0,0,1,21,1,1,0
0,1,68,11.4,33,3,22,1,1,2,5.9,5.9,1,0,0,1,10,0,1,0
0,1,85,9.9,33,3,20,1,1,2,2.5,2.5,1,0,0,1,15,0,1,0
0,0,68,5,29,3,11,1,1,2,0.5,0.5,1,1,1,7,20,1,1,2
0,1,68,4.4,31,1,11.5,1,1,3,4.4,4.4,0,1,1,7,16,0,1,2
0,0,68,3.6,27,1,7.85,1,0,2,1.1,1.1,0,1,1,1,17,1,1,2
0,0,82,10,34,4,18,1,0,2,0.6,0.6,0,1,1,0,10,0,1,2
0,1,82,2.2,25,4,4.5,1,1,2,2.2,2.2,0,1,1,4,20,1,1,2
0,0,78,3.6,27,4,6.5,1,1,2,1.6,1.6,0,0,0,10,20,1,0,2
0,0,69,3.4,27,4,6,1,1,3,2,2,0,0,0,1,21,1,1,2
0,1,78,3,27,4,6,1,1,3,0.1,0.1,0,0,0,1,11,1,1,2
0,0,78,3.1,27,4,5.25,1,1,2,3.1,3.1,0,0,0,4,11,1,1,2
0,0,78,2.4,27,4,4.75,1,1,2,2.4,2.4,1,0,0,12,11,1,1,2
1,1,78,7,36,9,13.64,1,1,3,3.9,7,1,1,1,1,11,0,1,2
1,0,78,10.8,33,5,24,1,1,1,6.1,10.8,1,1,1,4,11,0,1,2
1,0,78,3.9,33,7,6,1,0,2,3.9,3.9,1,1,1,5,17,0,1,2
0,0,78,5,28,0,10,1,1,4,1.9,1.9,1,1,1,1,17,1,0,2
0,0,78,11.5,38,2,20,1,0,2,1.1,1.1,1,1,1,5,20,0,0,2
0,0,78,3.5,26,2,7.5,1,0,1,3.5,3.5,0,0,0,5,20,1,1,0
0,0,78,2.11,25,2,4.5,1,1,3,0.5,0.5,0,0,0,5,21,1,1,2
1,0,78,2.4,26,2,4.5,1,0,1,1.8,1.8,0,0,0,1,21,0,1,2
0,1,70.6,4.7,27,2,8,1,0,1,2.1,2.1,1,0,0,4,18,1,1,2
0,0,70.6,4,26,2,8,1,1,3,4,4,1,0,0,4,18,0,1,2
0,0,75,7,30,2,14,1,0,2,2.2,2.2,1,1,1,10,14,0,0,2
0,1,75,2,27,2,6,1,0,3,2,2,1,1,1,1,22,0,1,2
1,0,80,12.1,40,2,25,1,1,1,8,8,1,1,1,12,10,0,0,2
1,0,67.22,7,29,2,14,1,0,2,3.9,3.9,1,1,1,3,22,1,0,2
0,0,67.22,6.8,32,2,13,1,1,2,1.8,1.8,0,0,0,10,15,0,1,0
0,1,67.22,6.4,32,2,12,1,1,2,3.7,3.7,0,0,0,10,12,0,1,3
0,0,67.22,11,35,2,23,1,1,1,5.1,5.1,1,0,0,10,12,0,1,2
0,0,67.22,10,34,2,22,1,1,1,3.4,3.4,0,0,0,3,12,0,1,2
0,1,67.22,8,31,2,16,1,1,1,3.6,3.6,1,0,0,1,13,1,1,2
0,1,83,5.9,31,2,11.5,1,1,2,1.7,1.7,1,1,1,3,15,0,0,2
0,1,83,5.2,30,2,10,1,0,1,0.8,0.8,1,1,1,10,15,0,0,2
0,0,83,3.2,27,2,6.5,1,1,3,0.2,0.2,0,0,0,1,20,1,1,2
0,0,72,3.7,27,2,7,1,0,2,1.7,1.7,0,0,0,10,21,1,1,2
0,0,74,3.6,24,2,7.25,1,1,2,0.8,0.8,0,0,0,1,21,1,1,2
0,0,70,2.8,26,2,4.25,1,1,1,0.11,0.11,1,0,0,1,22,1,1,2
0,0,66,1.1,26,2,3,1,1,2,1.1,1.1,0,0,0,4,22,1,1,2
0,1,75,8.2,31,2,14,1,1,2,6,6,0,0,0,1,14,0,1,2
0,1,72,3.8,28,2,6,1,1,1,0.6,0.6,1,0,0,4,18,0,1,0
0,1,64,5.7,30,2,10.5,1,1,2,0.6,0.6,1,0,0,4,15,0,1,2
0,0,64,13,37,2,26,1,0,1,3.2,3.2,1,0,0,4,8,0,1,2
0,0,64,2.5,25,2,4,1,1,1,0.5,0.5,1,0,0,4,15,1,1,1
0,1,64,4.6,31,2,9,1,1,1,2.9,3,0,0,0,4,15,1,1,1
0,1,64,5,31,2,9.5,1,1,1,1.2,1.2,1,0,0,4,18,1,1,1
0,0,64,4.8,27,2,8,1,1,2,0.8,0.8,0,0,0,1,18,0,1,0
0,1,64,5.8,28,2,11,1,1,2,5.8,5.8,1,0,0,1,20,0,1,1
1,0,64,2,30,2,5,1,1,1,2,2,0,0,0,7,20,0,1,3
0,0,64,8.3,30,2,16,1,1,2,1.6,1.6,0,0,0,1,14,0,1,0
1,1,64,24,46,2,35,0,1,1,2.1,2.1,0,0,0,9,13,0,1,2
0,1,64,4.11,26,2,8,1,1,3,3.1,3.1,0,0,0,1,20,1,0,2
